ID ref,Match order,Part of speech,Stem type,Voice,Mood,Tense,Lemma,Morph flags,Dialect
verbpdgm1,2,,w_stem,active,,,,,
verbpdgm2,2,,w_stem,mediopassive,,,,,
verbpdgm2,2,,w_stem,middle,,,,,
verbpdgm3,1,,reg_fut,,,,,,
verbpdgm4,3,,reg_fut,,,,,contr,
verbpdgm3,1,,aw_fut,,,,,,
verbpdgm4,2,,aw_fut,,,,,contr,
verbpdgm3,1,,ew_fut,,,,,,
verbpdgm4,2,,ew_fut,,,,,contr,
verbpdgm5,3,,aw_fut,,,,,contr,doric
verbpdgm5,3,,aw_fut,,,,,contr,aeolic
verbpdgm6,1,,aor2,active,,,,,
verbpdgm7,1,,aor2,middle,,,,,
verbpdgm8,1,,aor1,active,,,,,
verbpdgm9,1,,aor1,middle,,,,,
verbpdgm10,1,,aor_pass,,,,,,
verbpdgm10,1,,aor2_pass,,,,,,
verbpdgm3,3,,aor_pass,passive,,future,,,
verbpdgm11,1,,perf_act,,,,,,
verbpdgm15,3,,perf_act,active,,pluperfect,,,
verbpdgm12,1,,,mediopassive,indicative,perfect,,,
verbpdgm12,1,,,mediopassive,infinitive,perfect,,,
verbpdgm13,1,,,mediopassive,subjunctive,perfect,,,
verbpdgm13,1,,,middle,subjunctive,perfect,,,
verbpdgm13,1,,,mediopassive,optative,perfect,,,
verbpdgm13,1,,,middle,optative,perfect,,,
verbpdgm13,1,,,mediopassive,imperative,perfect,,,
verbpdgm13,1,,,middle,imperative,perfect,,,
verbpdgm14,1,,,mediopassive,subjunctive,perfect,,,
verbpdgm14,1,,,middle,subjunctive,perfect,,,
verbpdgm14,1,,,mediopassive,optative,perfect,,,
verbpdgm14,1,,,middle,optative,perfect,,,
verbpdgm14,1,,,mediopassive,imperative,perfect,,,
verbpdgm14,1,,,middle,imperative,perfect,,,
verbpdgm15,1,,,mediopassive,indicative,pluperfect,,,
verbpdgm16,1,,fut_perf,,,,,,
verbpdgm17,1,,perf2_act,,,,,,
verbpdgm18,1,,ew_pr,active,,,,,
verbpdgm20,1,,ew_pr,mediopassive,,,,,
verbpdgm20,1,,ew_pr,middle,,,,,
verbpdgm19,1,,evw_pr,,,,,,
verbpdgm21,2,,evw_pr,mediopassive,,,,,
verbpdgm21,2,,evw_pr,middle,,,,,
verbpdgm22,2,,aw_pr,,,,,,
verbpdgm23,1,,ajw_pr,,,,,,
verbpdgm24,2,,aw_pr,mediopassive,,,,,
verbpdgm24,2,,aw_pr,middle,,,,,
verbpdgm25,2,,ajw_pr,mediopassive,,,,,
verbpdgm25,2,,ajw_pr,middle,,,,,
verbpdgm26,2,,ow_pr,active,,,,,
verbpdgm27,2,,ow_pr,mediopassive,,,,,
verbpdgm27,2,,ow_pr,middle,,,,,
verbpdgm26,2,,ww_pr,active,,,,,
verbpdgm27,2,,ww_pr,mediopassive,,,,,
verbpdgm27,2,,ww_pr,middle,,,,,
verbpdgm28,2,,emi_pr,active,,,,,
verbpdgm29,2,,emi_pr,mediopassive,,,,,
verbpdgm29,2,,emi_pr,middle,,,,,
verbpdgm30,2,,emi_or,active,,,,,
verbpdgm31,2,,emi_or,middle,,,,,
verbpdgm32,2,,,active,,,ἵημι,,
verbpdgm33,2,,,mediopassive,,,ἵημι,,
verbpdgm33,2,,,middle,,,ἵημι,,
verbpdgm34,3,,,acive,,aorist,ἵημι,,
verbpdgm35,3,,,middle,,aorist,ἵημι,,
verbpdgm35,3,,,middle,,aorist,ἵημι,,
verbpdgm36,2,,omi_pr,active,,,,,
verbpdgm37,2,,omi_pr,mediopassive,,,,,
verbpdgm37,2,,omi_pr,middle,,,,,
verbpdgm38,2,,omi_aor,active,,,,,
