ID ref,Match order,Part of speech,Stem type,Declension,Gender,Lemma,Morph flags,Dialect
nounpdgm1,1,noun,os_ou,2nd,masculine,ἄνθρωπος,,
nounpdgm1,1,noun,os_ou,2nd,neuter,ἔργον,,
nounpdgm2,1,noun,h_hs,1st,feminine,χώρα,,
nounpdgm2,1,noun,h_hs,1st,feminine,γνώμη,,
nounpdgm3,1,noun,,1st,feminine,ὑγίεια,,
nounpdgm3,1,noun,,1st,feminine,θάλασσα,,
nounpdgm4,1,noun,hs_ou,1st,masculine,νεανίης,,
nounpdgm4,1,noun,hs_ou,1st,masculine,στρατιώτης,,
nounpdgm5,1,noun,y_pos,3rd,masculine,κλώψ,,
nounpdgm5,1,noun,c_kos,3rd,masculine,φύλαξ,,
